,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
5392,Address: 2785 Jackson Street #4,San FranciscoSales price: 2250000Sales date: 01/28/2015Bedrooms: 3Square feet: 1901Lot size: 5490,2785 Jackson St APT 4,3,3,1901,01/28/2015,2250000,37.791512,-122.440793,Pacific Heights,7,Condominium,1927,2626745,1884400,94115,15081228
5393,Address: 2631 20th Avenue,San FranciscoSales price: 690000Sales date: 01/28/2015Bedrooms: 3Square feet: 1494Lot size: 3000,2631 20th Ave,3,3,1494,01/28/2015,690000,37.738639,-122.476786,Parkside,7,SingleFamily,1926,1012744,1094000,94116,15125369
5394,Address: 351 Buena Vista Avenue E #501,San FranciscoSales price: 744000Sales date: 01/28/2015Bedrooms: 1Square feet: 725Lot size: 13515,351 Buena Vista Ave E UNIT 501,1,1,725,01/28/2015,744000,37.766872,-122.43959,Buena Vista Park,3,Condominium,1987,826981,1470700,94117,15126824
5396,Address: 2067 Quesada Avenue,San FranciscoSales price: 920000Sales date: 01/28/2015Bedrooms: 0Square feet: 875Lot size: 2495,2067 Quesada Ave,1,3,875,01/28/2015,920000,37.737036,-122.398505,Silver Terrace,5,SingleFamily,1910,671257,720300,94124,15156807
5397,Address: 916 Rockdale Drive,San FranciscoSales price: 1100000Sales date: 01/28/2015Bedrooms: 3Square feet: 1650Lot size: 3524,916 Rockdale Dr,1,3,1600,01/28/2015,1100000,37.74115,-122.454699,Miraloma Park,7,SingleFamily,1930,1101200,1227600,94127,15135154
5400,Address: 30 Bernice Street,San FranciscoSales price: 1350000Sales date: 01/27/2015Bedrooms: 2Square feet: 926Lot size: 1851,30 Bernice St,2.5,4,2000,01/27/2015,1350000,37.769891,-122.414215,South of Market,6,SingleFamily,1911,1831154,957300,94103,15142623
5407,Address: 85 Sycamore Street #1,San FranciscoSales price: 1799000Sales date: 01/27/2015Bedrooms: 3Square feet: 1832Lot size: 2789,85 Sycamore St # 1,3,4,1832,01/27/2015,1799000,37.762514,-122.421105,Mission,7,Condominium,2002,1360314,1167700,94110,61287355
5408,Address: 168 Precita Avenue,San FranciscoSales price: 1900000Sales date: 01/27/2015Bedrooms: 4Square feet: 1700Lot size: 3120,168 Precita Ave,2,4,1700,01/27/2015,1900000,37.747059,-122.416617,Bernal Heights,8,Duplex,1904,1311027,1214400,94110,15159893
5410,Address: 98 Seward Street,San FranciscoSales price: 2455000Sales date: 01/27/2015Bedrooms: 0Square feet: 2000Lot size: 2256,98 Seward St,1.5,3,2670,01/27/2015,2455000,37.758912,-122.440474,Eureka Valley - Dolores Heights - Castro,7,SingleFamily,1928,3136995,1718500,94114,15129560
5412,Address: 3425 Divisadero Street,San FranciscoSales price: 2460000Sales date: 01/27/2015Bedrooms: 3Square feet: 2128Lot size: 2350,3425 Divisadero St,2,3,2128,01/27/2015,2460000,37.801198,-122.443403,Marina,6,Condominium,2008,2370634,2157700,94123,15080013
